model,input_dimensions,input_dtypes,output_dimensions,output_dtypes,conv_flops,matmul_flops,elementwise_bytes,reduction_bytes,normalization_bytes,movement_bytes,Abs,Acos,Add,ai.onnx.ml::CategoryMapper,And,ArgMax,AveragePool,BatchNormalization,Cast,Ceil,Clip,com.microsoft::BiasGelu,com.microsoft::DynamicQuantizeLSTM,com.microsoft::DynamicQuantizeMatMul,com.microsoft::FastGelu,com.microsoft::FusedConv,com.microsoft::FusedGemm,com.microsoft::FusedMatMul,com.microsoft::MatMulIntegerToFloat,com.microsoft::QGemm,com.microsoft::QLinearAdd,com.microsoft::QLinearAveragePool,com.microsoft::QLinearConcat,com.microsoft::QLinearGlobalAveragePool,com.microsoft::QLinearLeakyRelu,com.microsoft::QLinearMul,com.microsoft::QLinearSigmoid,com.microsoft::QuickGelu,com.microsoft::SkipLayerNormalization,Compress,Concat,Constant,ConstantOfShape,Conv,ConvInteger,ConvTranspose,Cos,CumSum,DequantizeLinear,Div,Dropout,DynamicQuantizeLinear,Einsum,Equal,Erf,Exp,Expand,EyeLike,Flatten,Floor,Gather,GatherElements,GatherND,Gelu,Gemm,GlobalAveragePool,Greater,GreaterOrEqual,Hardmax,HardSigmoid,HardSwish,Identity,If,InstanceNormalization,LayerNormalization,LeakyRelu,Less,LessOrEqual,local::preprocess,Log,LogSoftmax,Loop,LRN,LSTM,MatMul,MatMulInteger,Max,MaxPool,Min,Mod,Mul,Neg,NonMaxSuppression,NonZero,Not,OneHot,Or,Pad,Pow,PRelu,QLinearConv,QLinearMatMul,QuantizeLinear,Range,Reciprocal,ReduceMax,ReduceMean,ReduceMin,ReduceProd,ReduceSum,Relu,Reshape,Resize,RoiAlign,Round,Scan,ScatterElements,ScatterND,Shape,Sigmoid,SimplifiedLayerNormalization,Sin,Slice,Softmax,Split,Sqrt,Squeeze,Sub,Sum,Tanh,Tile,TopK,Transpose,Trilu,Unsqueeze,Where,Xor
FasterRCNN-10.onnx,image:3x1x1,image:float32,6379:1x4; 6381:1; 6383:1,6379:float32; 6381:int64; 6383:float32,59531136,2928640,1053401,6612,648,291916,0,0,129,0,0,0,0,0,500,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3431,92,76,0,0,0,0,0,9,0,0,0,8,0,12,14,0,2,1,799,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,131,0,85,98,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,56,107,3,4,0,0,4,0,151,5,0,0,398,1,0,1,178,39,0,0,0,7,108,0,562,0,0
FasterRCNN-12.onnx,image:3x1x1,image:float32,6379:1x4; 6381:1; 6383:1,6379:float32; 6381:int64; 6383:float32,59531136,2928640,445397,6612,648,267564,0,0,80,0,0,0,0,0,124,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,579,92,76,0,0,0,0,0,9,0,0,0,8,0,12,14,0,1,1,798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,78,0,85,98,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,56,106,3,4,0,0,4,0,117,5,0,0,125,1,0,1,178,39,0,0,0,7,108,0,401,0,0
FasterRCNN-12-int8.onnx,image:3x1x1,image:float32,6379:1x4; 6381:1; 6383:1,6379:float32; 6381:int64; 6383:float32,166272,2048,13141,4176,648,255756,0,0,59,0,0,0,0,0,124,0,25,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,99,579,92,0,0,0,0,0,25,9,0,0,0,8,0,12,14,0,1,1,798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,78,0,85,98,0,0,0,0,0,0,76,4,2,0,0,0,0,7,0,0,0,106,3,4,0,0,4,0,117,0,0,0,125,1,0,1,178,39,0,0,0,7,24,0,401,0,0
FasterRCNN-12-qdq.onnx,image:3x1x1,image:float32,6379:1x4; 6381:1; 6383:1,6379:float32; 6381:int64; 6383:float32,59531136,2928640,374229,6612,648,266220,0,0,80,0,0,0,0,0,124,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,579,92,76,0,0,0,0,314,9,0,0,0,8,0,12,14,0,1,1,798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,78,0,85,98,0,0,0,0,0,0,0,0,158,0,0,0,0,7,0,0,18,106,3,4,0,0,4,0,117,5,0,0,125,1,0,1,178,39,0,0,0,7,24,0,401,0,0
MaskRCNN-10.onnx,image:3x1x1,image:float32,6568:1x4; 6570:1; 6572:1; 6887:1x1x28x28,6568:float32; 6570:int64; 6572:float32; 6887:float32,63640448,2928640,1064749,6612,648,1103412,0,0,144,0,5,0,0,0,578,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,3604,95,81,0,1,0,0,0,11,0,0,0,16,0,12,18,0,2,2,850,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,2,0,0,133,0,85,112,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,61,112,3,8,0,0,8,0,176,6,0,0,404,1,10,2,202,52,0,0,0,7,122,0,587,0,0
MaskRCNN-12.onnx,image:3x1x1,image:float32,6568:1x4; 6570:1; 6572:1; 6887:1x1x28x28,6568:float32; 6570:int64; 6572:float32; 6887:float32,63640448,2928640,1094185,6612,648,1103412,0,0,148,0,5,0,0,0,366,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,799,95,81,0,1,0,0,0,11,0,0,0,16,0,12,18,0,2,2,850,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,4,0,0,2,0,0,133,0,85,112,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,61,112,3,8,0,0,8,0,176,6,0,0,404,1,10,2,202,52,0,0,0,7,122,0,587,0,0
MaskRCNN-12-int8.onnx,image:3x1x1,image:float32,6568:1x4; 6570:1; 6572:1; 6887:1x1x28x28,6568:float32; 6570:int64; 6572:float32; 6887:float32,4275584,2048,13049,4176,648,1066100,0,0,72,0,5,0,0,0,143,0,26,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,5,0,0,0,112,637,95,0,0,1,0,0,77,11,0,0,0,16,0,12,18,0,1,2,849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,2,0,0,80,0,85,112,10,0,0,0,0,0,81,4,14,0,0,0,0,7,0,0,1,111,3,8,0,0,8,0,129,1,0,0,126,1,10,2,202,52,0,0,0,7,38,0,425,0,0
MaskRCNN-12-qdq.onnx,image:3x1x1,image:float32,6568:1x4; 6570:1; 6572:1; 6887:1x1x28x28,6568:float32; 6570:int64; 6572:float32; 6887:float32,63640448,2928640,377385,6612,648,1077372,0,0,95,0,5,0,0,0,143,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,637,95,81,0,1,0,0,400,11,0,0,0,16,0,12,18,0,1,2,849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,4,0,0,2,0,0,80,0,85,112,10,0,0,0,0,0,0,0,246,0,0,0,0,7,0,0,19,111,3,8,0,0,8,0,129,6,0,0,126,1,10,2,202,52,0,0,0,7,38,0,425,0,0
ResNet101-DUC-12.onnx,data:1x3x800x800,data:float32,seg_loss:1x19x160000,seg_loss:float32,1346148409344,0,4501922816,102195712,4894911488,72960048,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0
ResNet101-DUC-12-int8.onnx,data:1x3x800x800,data:float32,seg_loss:1x19x160000,seg_loss:float32,1346148409344,0,2782828544,25548928,24320000,72960048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110,0,34,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0
