model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,69.388263,1.776417,67.804797,73.496604,68.381367,73.496604,71.183044,68.804857,68.330717,68.649617,67.804797,70.074926,69.282706,67.873998,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,75.774706,2.721247,71.245521,79.791865,77.052937,79.791865,76.396387,73.922920,76.646087,75.322308,72.378951,71.245521,75.744058,79.246025,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,70.185146,1.192011,68.239311,72.093018,69.276421,70.892529,69.591450,71.318729,68.239311,72.093018,68.974572,70.908810,69.835830,70.720789,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,71.135671,1.934353,69.334557,74.775013,69.749027,72.045205,69.910197,69.334557,71.875185,69.846797,70.005366,74.775013,73.939573,69.875787,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,69.796908,1.549371,67.695397,72.336132,71.223834,69.073185,69.369106,68.604375,72.336132,67.695397,68.841305,69.669225,72.065773,69.090745,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,71.783583,1.226587,70.066403,73.565439,70.066403,73.112790,72.691790,70.297993,71.483152,70.839092,72.162861,73.565439,72.671560,70.944752,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,71.130556,1.538296,69.320883,74.017668,71.520470,69.424201,69.320883,70.767430,74.017668,71.410590,70.553781,70.342741,73.394658,70.553141,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,69.484282,1.746366,67.990852,73.664706,68.740662,68.148741,68.239301,67.990852,68.501681,68.684421,70.726479,70.155969,73.664706,69.990010,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,51.993522,1.333707,50.974677,55.265313,55.265313,52.118137,51.446567,51.101588,51.478278,53.314206,50.974677,51.488418,51.622707,51.125327,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,54.185669,0.941468,52.044966,55.367512,54.158884,54.445714,54.679113,53.077245,52.044966,55.367512,54.535793,54.446834,54.569623,54.531003,DONE,
